route_id,timestamp,turn_10min,revisit_15min
ROUTE_001,09:00,0,0
ROUTE_001,09:01,1,0
ROUTE_001,09:02,1,0
ROUTE_001,09:03,1,0
ROUTE_001,09:04,1,0
ROUTE_001,09:05,1,0
ROUTE_001,09:06,1,0
ROUTE_001,09:07,1,0
ROUTE_001,09:08,1,0
ROUTE_001,09:09,2,0
ROUTE_001,09:10,2,0
ROUTE_001,09:11,1,0
ROUTE_001,09:12,1,0
ROUTE_001,09:13,1,0
ROUTE_001,09:14,1,0
ROUTE_001,09:15,1,0
ROUTE_001,09:16,1,0
ROUTE_001,09:17,1,0
ROUTE_001,09:18,1,0
ROUTE_001,09:19,0,0
ROUTE_001,09:20,0,0
ROUTE_001,09:21,0,0
ROUTE_001,09:22,0,0
ROUTE_001,09:23,0,0
ROUTE_001,09:24,1,0
ROUTE_001,09:25,1,0
ROUTE_001,09:26,1,0
ROUTE_001,09:27,1,0
ROUTE_001,09:28,1,0
ROUTE_001,09:29,1,0
ROUTE_001,09:30,1,0
ROUTE_002,09:00,0,0
ROUTE_002,09:01,0,0
ROUTE_002,09:02,0,0
ROUTE_002,09:03,0,0
ROUTE_002,09:04,1,0
ROUTE_002,09:05,2,0
ROUTE_002,09:06,2,0
ROUTE_002,09:07,2,0
ROUTE_002,09:08,2,0
ROUTE_002,09:09,2,0
ROUTE_002,09:10,2,0
ROUTE_002,09:11,2,0
ROUTE_002,09:12,2,0
ROUTE_002,09:13,2,0
ROUTE_002,09:14,1,0
ROUTE_002,09:15,0,0
ROUTE_002,09:16,0,0
ROUTE_002,09:17,0,0
ROUTE_002,09:18,0,0
ROUTE_002,09:19,0,0
ROUTE_002,09:20,0,0
ROUTE_002,09:21,0,0
ROUTE_002,09:22,1,0
ROUTE_002,09:23,1,0
ROUTE_003,09:00,0,0
ROUTE_003,09:01,0,0
ROUTE_003,09:02,1,0
ROUTE_003,09:03,1,0
ROUTE_003,09:04,1,0
ROUTE_003,09:05,1,0
ROUTE_003,09:06,1,0
ROUTE_003,09:07,1,0
