route_id,timestamp,turn_10min,revisit_15min
S_ROUTE_001,09:00,0,0
S_ROUTE_001,09:01,0,0
S_ROUTE_001,09:02,1,0
S_ROUTE_001,09:03,1,0
S_ROUTE_001,09:04,1,0
S_ROUTE_001,09:05,1,0
S_ROUTE_001,09:06,1,0
S_ROUTE_001,09:07,1,0
S_ROUTE_001,09:08,2,0
S_ROUTE_001,09:09,2,0
S_ROUTE_001,09:10,2,0
S_ROUTE_001,09:11,1,0
S_ROUTE_001,09:12,1,0
S_ROUTE_001,09:13,1,0
S_ROUTE_001,09:14,1,0
S_ROUTE_001,09:15,0,0
S_ROUTE_001,09:16,0,0
S_ROUTE_001,09:17,0,0
S_ROUTE_001,09:18,1,0
S_ROUTE_001,09:19,1,0
S_ROUTE_001,09:20,1,0
S_ROUTE_002,09:00,0,0
S_ROUTE_002,09:01,1,0
S_ROUTE_002,09:02,1,0
S_ROUTE_002,09:03,1,0
S_ROUTE_002,09:04,2,0
S_ROUTE_002,09:05,3,0
S_ROUTE_002,09:06,4,1
S_ROUTE_002,09:07,5,1
S_ROUTE_002,09:08,5,1
S_ROUTE_002,09:09,6,1
S_ROUTE_002,09:10,6,2
S_ROUTE_002,09:11,5,2
S_ROUTE_002,09:12,4,1
S_ROUTE_002,09:13,3,1
S_ROUTE_002,09:14,2,0
S_ROUTE_002,09:15,1,0
S_ROUTE_002,09:16,1,0
S_ROUTE_002,09:17,0,0
S_ROUTE_002,09:18,0,0
S_ROUTE_002,09:19,0,0
S_ROUTE_002,09:20,0,0
S_ROUTE_003,09:00,0,0
S_ROUTE_003,09:01,1,0
S_ROUTE_003,09:02,2,0
S_ROUTE_003,09:03,3,1
S_ROUTE_003,09:04,4,1
S_ROUTE_003,09:05,5,1
S_ROUTE_003,09:06,6,2
S_ROUTE_003,09:07,7,2
S_ROUTE_003,09:08,8,2
S_ROUTE_003,09:09,9,3
S_ROUTE_003,09:10,10,3
S_ROUTE_003,09:11,11,3
S_ROUTE_003,09:12,12,4
S_ROUTE_003,09:13,12,4
S_ROUTE_003,09:14,13,4
S_ROUTE_003,09:15,14,5
S_ROUTE_003,09:16,14,5
S_ROUTE_003,09:17,15,5
S_ROUTE_003,09:18,16,6
S_ROUTE_003,09:19,16,6
S_ROUTE_003,09:20,18,7
